kaybetmiş	gibi	hisseder	değil
gibi	hisseder	değil	mi
hisseder	değil	mi	kolu
değil	mi	kolu	kanadı
mi	kolu	kanadı	kırılır
kolu	kanadı	kırılır	hem
kanadı	kırılır	hem	evinin
kırılır	hem	evinin	hem
hem	evinin	hem	içinin
evinin	hem	içinin	civic
hem	içinin	civic	le
içinin	civic	le	lamborghini
civic	le	lamborghini	aventador
le	lamborghini	aventador	u
lamborghini	aventador	u	geçmişsin
aventador	u	geçmişsin	götün
u	geçmişsin	götün	tavan
geçmişsin	götün	tavan	yapmış
götün	tavan	yapmış	özgüvenden
tavan	yapmış	özgüvenden	ama
yapmış	özgüvenden	ama	bu
özgüvenden	ama	bu	dünya
ama	bu	dünya	gelip
bu	dünya	gelip	geçicidir
dünya	gelip	geçicidir	hepimiz
gelip	geçicidir	hepimiz	dört
geçicidir	hepimiz	dört	kolluyla
hepimiz	dört	kolluyla	gideceğiz
dört	kolluyla	gideceğiz	sonunda
kolluyla	gideceğiz	sonunda	diye
gideceğiz	sonunda	diye	tevekküle
sonunda	diye	tevekküle	dalmışsın
diye	tevekküle	dalmışsın	o
tevekküle	dalmışsın	o	atmosferde
dalmışsın	o	atmosferde	neyse
o	atmosferde	neyse	işte
atmosferde	neyse	işte	seçimlerden
neyse	işte	seçimlerden	sonra
işte	seçimlerden	sonra	kimsenin
seçimlerden	sonra	kimsenin	iplemediği
sonra	kimsenin	iplemediği	atlar
kimsenin	iplemediği	atlar	yani
iplemediği	atlar	yani	tabut
atlar	yani	tabut	atatürk
yani	tabut	atatürk	ve
tabut	atatürk	ve	silah
atatürk	ve	silah	arkadaşlarının
ve	silah	arkadaşlarının	türk
silah	arkadaşlarının	türk	milletiyle
arkadaşlarının	türk	milletiyle	birlikte
türk	milletiyle	birlikte	kurduğu
milletiyle	birlikte	kurduğu	türkiye
birlikte	kurduğu	türkiye	cumhuriyeti
kurduğu	türkiye	cumhuriyeti	devletini
türkiye	cumhuriyeti	devletini	dört
cumhuriyeti	devletini	dört	kolluya
devletini	dört	kolluya	bindirmek
dört	kolluya	bindirmek	isteyenler
kolluya	bindirmek	isteyenler	cenazeyi
bindirmek	isteyenler	cenazeyi	gömmeye
isteyenler	cenazeyi	gömmeye	götürecek
cenazeyi	gömmeye	götürecek	siyasi
gömmeye	götürecek	siyasi	aktörleri
götürecek	siyasi	aktörleri	de
siyasi	aktörleri	de	belirlemiş
aktörleri	de	belirlemiş	görünüyor
de	belirlemiş	görünüyor	kiliçdaroğlu
belirlemiş	görünüyor	kiliçdaroğlu	dikkat
görünüyor	kiliçdaroğlu	dikkat	çekmektedir
kiliçdaroğlu	dikkat	çekmektedir	buradaki
dikkat	çekmektedir	buradaki	amaç
çekmektedir	buradaki	amaç	dışa
buradaki	amaç	dışa	taşkın
amaç	dışa	taşkın	giriş
dışa	taşkın	giriş	bölümü
taşkın	giriş	bölümü	ve
giriş	bölümü	ve	apsisin
bölümü	ve	apsisin	dışa
ve	apsisin	dışa	taşıntısıyla
apsisin	dışa	taşıntısıyla	denge
dışa	taşıntısıyla	denge	sağlayarak
taşıntısıyla	denge	sağlayarak	dört
denge	sağlayarak	dört	kollu
sağlayarak	dört	kollu	bir
dört	kollu	bir	haç
kollu	bir	haç	formu
bir	haç	formu	oluşturmak
haç	formu	oluşturmak	olmalıdır
formu	oluşturmak	olmalıdır	söz
oluşturmak	olmalıdır	söz	konusu
olmalıdır	söz	konusu	tali
söz	konusu	tali	girişlerin
konusu	tali	girişlerin	örtülerinin
tali	girişlerin	örtülerinin	kubbe
girişlerin	örtülerinin	kubbe	olduğu
örtülerinin	kubbe	olduğu	ve
kubbe	olduğu	ve	birer
olduğu	ve	birer	mazgal
ve	birer	mazgal	pencere
birer	mazgal	pencere	ile
mazgal	pencere	ile	teskere
pencere	ile	teskere	kezgereyi
ile	teskere	kezgereyi	getir
teskere	kezgereyi	getir	toprak
kezgereyi	getir	toprak	taşıyalım
getir	toprak	taşıyalım	gözgere
toprak	taşıyalım	gözgere	tecgere
taşıyalım	gözgere	tecgere	taş
gözgere	tecgere	taş	toprak
tecgere	taş	toprak	ve
taş	toprak	ve	benzerleri
toprak	ve	benzerleri	şeyleri
ve	benzerleri	şeyleri	taşımaya
benzerleri	şeyleri	taşımaya	yarayan
şeyleri	taşımaya	yarayan	dört
taşımaya	yarayan	dört	kollu
yarayan	dört	kollu	ve
dört	kollu	ve	iki
kollu	ve	iki	kişinin
ve	iki	kişinin	taşıdığı
iki	kişinin	taşıdığı	bir
kişinin	taşıdığı	bir	çeşit
taşıdığı	bir	çeşit	araç
bir	çeşit	araç	teskere
çeşit	araç	teskere	güzgere
araç	teskere	güzgere	ocak
teskere	güzgere	ocak	üzerinde
güzgere	ocak	üzerinde	bulunan
ocak	üzerinde	bulunan	delikler
üzerinde	bulunan	delikler	kejgere
bulunan	delikler	kejgere	tezkere
delikler	kejgere	tezkere	fingere
kejgere	tezkere	fingere	iğ
tezkere	fingere	iğ	vaka
fingere	iğ	vaka	olarak
iğ	vaka	olarak	kaleme
vaka	olarak	kaleme	almadan
olarak	kaleme	almadan	edemedim
kaleme	almadan	edemedim	ilk
almadan	edemedim	ilk	vaka
edemedim	ilk	vaka	şöyledir
ilk	vaka	şöyledir	birbirini
vaka	şöyledir	birbirini	kesen
şöyledir	birbirini	kesen	çift
birbirini	kesen	çift	yönlü
kesen	çift	yönlü	trafik
çift	yönlü	trafik	akışına
yönlü	trafik	akışına	açık
trafik	akışına	açık	iki
akışına	açık	iki	yol
açık	iki	yol	yani
iki	yol	yani	dört
yol	yani	dört	kollu
yani	dört	kollu	bir
dört	kollu	bir	kavşaktan
kollu	bir	kavşaktan	bahsediyorum
bir	kavşaktan	bahsediyorum	bir
kavşaktan	bahsediyorum	bir	kolun
bahsediyorum	bir	kolun	kavşağa
bir	kolun	kavşağa	girişinde
kolun	kavşağa	girişinde	tali
kavşağa	girişinde	tali	yol
girişinde	tali	yol	olduğunu
tali	yol	olduğunu	gösteren
yol	olduğunu	gösteren	dur
olduğunu	gösteren	dur	levhası
gösteren	dur	levhası	sağdan
dur	levhası	sağdan	ilerleyen
levhası	sağdan	ilerleyen	açar
sağdan	ilerleyen	açar	kapılarını
ilerleyen	açar	kapılarını	motosiklette
açar	kapılarını	motosiklette	şans
kapılarını	motosiklette	şans	diye
motosiklette	şans	diye	bir
şans	diye	bir	şey
diye	bir	şey	yoktur
bir	şey	yoktur	işinizi
şey	yoktur	işinizi	şansa
yoktur	işinizi	şansa	kadere
işinizi	şansa	kadere	bırakırsanız
şansa	kadere	bırakırsanız	motosikletten
kadere	bırakırsanız	motosikletten	inip
bırakırsanız	motosikletten	inip	dört
motosikletten	inip	dört	kolluya
inip	dört	kolluya	binmeniz
dört	kolluya	binmeniz	fazla
kolluya	binmeniz	fazla	zaman
binmeniz	fazla	zaman	almayacaktır
fazla	zaman	almayacaktır	motosikleti
zaman	almayacaktır	motosikleti	daha
almayacaktır	motosikleti	daha	bugün
motosikleti	daha	bugün	başlamış
daha	bugün	başlamış	gibi
bugün	başlamış	gibi	temkinli
başlamış	gibi	temkinli	ve
gibi	temkinli	ve	tedbirli
temkinli	ve	tedbirli	ama
ve	tedbirli	ama	yıllardır
tedbirli	ama	yıllardır	sen
ama	yıllardır	sen	yanımdayken
yıllardır	sen	yanımdayken	sen
sen	yanımdayken	sen	beni
yanımdayken	sen	beni	sancılarınla
sen	beni	sancılarınla	birlikte
beni	sancılarınla	birlikte	çıplak
sancılarınla	birlikte	çıplak	doğurdun
birlikte	çıplak	doğurdun	bu
çıplak	doğurdun	bu	dünyaya
doğurdun	bu	dünyaya	bak
bu	dünyaya	bak	şimdi
dünyaya	bak	şimdi	çırılçıplak
bak	şimdi	çırılçıplak	gidiyorum
şimdi	çırılçıplak	gidiyorum	beni
çırılçıplak	gidiyorum	beni	alan
gidiyorum	beni	alan	dört
beni	alan	dört	kollu
alan	dört	kollu	da
dört	kollu	da	ama
kollu	da	ama	sen
da	ama	sen	beni
ama	sen	beni	doğuran
sen	beni	doğuran	dünya
beni	doğuran	dünya	güzeli
doğuran	dünya	güzeli	annem
dünya	güzeli	annem	olarak
güzeli	annem	olarak	kal
annem	olarak	kal	gözlerimin
olarak	kal	gözlerimin	yaşında
kal	gözlerimin	yaşında	bir
gözlerimin	yaşında	bir	hatıra
yaşında	bir	hatıra	olarak
bir	hatıra	olarak	kötü
hatıra	olarak	kötü	içerik
olarak	kötü	içerik	bildir
kötü	içerik	bildir	sayın
içerik	bildir	sayın	ayakkabı
bildir	sayın	ayakkabı	seslerini
sayın	ayakkabı	seslerini	kum
ayakkabı	seslerini	kum	saatinin
seslerini	kum	saatinin	akışına
kum	saatinin	akışına	uydurma
saatinin	akışına	uydurma	ben
akışına	uydurma	ben	sana
uydurma	ben	sana	kendini
ben	sana	kendini	yorma
sana	kendini	yorma	dedikçe
kendini	yorma	dedikçe	sen
yorma	dedikçe	sen	daha
dedikçe	sen	daha	kaç
sen	daha	kaç	kez
daha	kaç	kez	ölü
kaç	kez	ölü	bir
kez	ölü	bir	cesedin
ölü	bir	cesedin	dört
bir	cesedin	dört	kollu
cesedin	dört	kollu	tabutunu
dört	kollu	tabutunu	tek
kollu	tabutunu	tek	başına
tabutunu	tek	başına	omuzlamaya
tek	başına	omuzlamaya	devam
başına	omuzlamaya	devam	edeceksin
omuzlamaya	devam	edeceksin	yoruldukça
devam	edeceksin	yoruldukça	renksiz
edeceksin	yoruldukça	renksiz	balonların
yoruldukça	renksiz	balonların	peşinde
renksiz	balonların	peşinde	ben
balonların	peşinde	ben	gözyaşına
peşinde	ben	gözyaşına	esir
ben	gözyaşına	esir	almanca
gözyaşına	esir	almanca	ingilizce
esir	almanca	ingilizce	türkçe
almanca	ingilizce	türkçe	çevirisini
ingilizce	türkçe	çevirisini	bulabilirsiniz
türkçe	çevirisini	bulabilirsiniz	teskere
çevirisini	bulabilirsiniz	teskere	sedye
bulabilirsiniz	teskere	sedye	yapılarda
teskere	sedye	yapılarda	malzeme
sedye	yapılarda	malzeme	taşımak
yapılarda	malzeme	taşımak	için
malzeme	taşımak	için	kullanılan
taşımak	için	kullanılan	dört
için	kullanılan	dört	kollu
kullanılan	dört	kollu	ve
dört	kollu	ve	iki
kollu	ve	iki	kişinin
ve	iki	kişinin	taşıdığı
iki	kişinin	taşıdığı	tahta
kişinin	taşıdığı	tahta	araç
taşıdığı	tahta	araç	tesker
tahta	araç	tesker	hindinin
araç	tesker	hindinin	kabararak
tesker	hindinin	kabararak	yürümesi
hindinin	kabararak	yürümesi	fırıldak
kabararak	yürümesi	fırıldak	külte
yürümesi	fırıldak	külte	tahtası
fırıldak	külte	tahtası	ile
külte	tahtası	ile	ilgili
tahtası	ile	ilgili	kabartma
ile	ilgili	kabartma	bezemeler
ilgili	kabartma	bezemeler	doldurulmuştur
kabartma	bezemeler	doldurulmuştur	girişin
bezemeler	doldurulmuştur	girişin	üstündeki
doldurulmuştur	girişin	üstündeki	lünetin
girişin	üstündeki	lünetin	içinde
üstündeki	lünetin	içinde	selçuklu
lünetin	içinde	selçuklu	çinilerinde
içinde	selçuklu	çinilerinde	de
selçuklu	çinilerinde	de	görüldüğü
çinilerinde	de	görüldüğü	gibi
de	görüldüğü	gibi	dört
görüldüğü	gibi	dört	kollu
gibi	dört	kollu	yıldızlar
dört	kollu	yıldızlar	işlenmiş
kollu	yıldızlar	işlenmiş	bunların
yıldızlar	işlenmiş	bunların	tam
işlenmiş	bunların	tam	ortasına
bunların	tam	ortasına	mühr
tam	ortasına	mühr	i
ortasına	mühr	i	süleyman
mühr	i	süleyman	biçimindeki
i	süleyman	biçimindeki	sekizli
süleyman	biçimindeki	sekizli	bir
biçimindeki	sekizli	bir	yıldız
sekizli	bir	yıldız	çerçevenin
bir	yıldız	çerçevenin	içine
yıldız	çerçevenin	içine	kitâbe
çerçevenin	içine	kitâbe	mi
içine	kitâbe	mi	elbette
kitâbe	mi	elbette	hayır
mi	elbette	hayır	felafelccc
elbette	hayır	felafelccc	keşke
hayır	felafelccc	keşke	ertuğrul
felafelccc	keşke	ertuğrul	gazi
keşke	ertuğrul	gazi	nin
ertuğrul	gazi	nin	türbesini
gazi	nin	türbesini	de
nin	türbesini	de	böyle
türbesini	de	böyle	korusalardı
de	böyle	korusalardı	rahmetliyi
böyle	korusalardı	rahmetliyi	sene
korusalardı	rahmetliyi	sene	sonra
rahmetliyi	sene	sonra	dört
sene	sonra	dört	kolluyla
sonra	dört	kolluyla	ordan
dört	kolluyla	ordan	oraya
kolluyla	ordan	oraya	gezdirdiler
ordan	oraya	gezdirdiler	millet
oraya	gezdirdiler	millet	bunu
gezdirdiler	millet	bunu	unutmaz
millet	bunu	unutmaz	tarafsız
bunu	unutmaz	tarafsız	nöbetçiler
unutmaz	tarafsız	nöbetçiler	sınavla
tarafsız	nöbetçiler	sınavla	mı
nöbetçiler	sınavla	mı	alınacak
sınavla	mı	alınacak	kadrolu
mı	alınacak	kadrolu	mu
alınacak	kadrolu	mu	olacaklar
kadrolu	mu	olacaklar	kiminiz
mu	olacaklar	kiminiz	daha
olacaklar	kiminiz	daha	çiçek
kiminiz	daha	çiçek	açmadan
daha	çiçek	açmadan	meyve
çiçek	açmadan	meyve	verdiniz
açmadan	meyve	verdiniz	bu
meyve	verdiniz	bu	ihtiyarın
verdiniz	bu	ihtiyarın	derdi
bu	ihtiyarın	derdi	nedir
ihtiyarın	derdi	nedir	bilir
derdi	nedir	bilir	misiniz
nedir	bilir	misiniz	dört
bilir	misiniz	dört	adam
misiniz	dört	adam	çıkacak
dört	adam	çıkacak	mı
adam	çıkacak	mı	benim
çıkacak	mı	benim	dört
mı	benim	dört	kolluyu
benim	dört	kolluyu	taşıyan
dört	kolluyu	taşıyan	ve
kolluyu	taşıyan	ve	olacak
taşıyan	ve	olacak	mı
ve	olacak	mı	acep
olacak	mı	acep	öbür
mı	acep	öbür	tarafta
acep	öbür	tarafta	yepyeni
öbür	tarafta	yepyeni	bir
tarafta	yepyeni	bir	kara
yepyeni	bir	kara	tahtam
bir	kara	tahtam	benimle
kara	tahtam	benimle	zamanı
tahtam	benimle	zamanı	gelince
benimle	zamanı	gelince	oynadın
zamanı	gelince	oynadın	da
gelince	oynadın	da	hazla
oynadın	da	hazla	birbirimizi
da	hazla	birbirimizi	işte
hazla	birbirimizi	işte	bir
birbirimizi	işte	bir	gün
işte	bir	gün	bende
bir	gün	bende	ölecem
gün	bende	ölecem	ayhan
bende	ölecem	ayhan	işık
ölecem	ayhan	işık	gibi
ayhan	işık	gibi	musalla
işık	gibi	musalla	taşında
gibi	musalla	taşında	anlayacaklar
musalla	taşında	anlayacaklar	kıymetimi
taşında	anlayacaklar	kıymetimi	ama
anlayacaklar	kıymetimi	ama	geç
kıymetimi	ama	geç	koyacaklar
ama	geç	koyacaklar	dört
geç	koyacaklar	dört	kolluya
koyacaklar	dört	kolluya	ağır
dört	kolluya	ağır	ağır
kolluya	ağır	ağır	götürecekler
ağır	ağır	götürecekler	son
ağır	götürecekler	son	yolculuğuma
götürecekler	son	yolculuğuma	görecem
son	yolculuğuma	görecem	orada
yolculuğuma	görecem	orada	senaryomdaki
görecem	orada	senaryomdaki	dostlarımı
orada	senaryomdaki	dostlarımı	bir
senaryomdaki	dostlarımı	bir	iki
dostlarımı	bir	iki	damla
bir	iki	damla	göz
iki	damla	göz	yaşı
damla	göz	yaşı	akacak
göz	yaşı	akacak	umarım
yaşı	akacak	umarım	yapısı
akacak	umarım	yapısı	olduğu
umarım	yapısı	olduğu	anlaşılan
yapısı	olduğu	anlaşılan	hamamlı
olduğu	anlaşılan	hamamlı	bölüm
anlaşılan	hamamlı	bölüm	büyük
hamamlı	bölüm	büyük	ölçüde
bölüm	büyük	ölçüde	haraptır
büyük	ölçüde	haraptır	yıkılmasından
ölçüde	haraptır	yıkılmasından	önce
haraptır	yıkılmasından	önce	tesbit
yıkılmasından	önce	tesbit	edilen
önce	tesbit	edilen	plan
tesbit	edilen	plan	krokisinden
edilen	plan	krokisinden	dört
plan	krokisinden	dört	kollu
krokisinden	dört	kollu	bir
dört	kollu	bir	sıcaklığının
kollu	bir	sıcaklığının	olduğu
bir	sıcaklığının	olduğu	ve
sıcaklığının	olduğu	ve	buraya
olduğu	ve	buraya	çeşmenin
ve	buraya	çeşmenin	arkasındaki
buraya	çeşmenin	arkasındaki	yatay
çeşmenin	arkasındaki	yatay	bir
arkasındaki	yatay	bir	bağlantı
yatay	bir	bağlantı	ile
bir	bağlantı	ile	geçildiği
bağlantı	ile	geçildiği	anlaşılmaktadır
ile	geçildiği	anlaşılmaktadır	bugün
geçildiği	anlaşılmaktadır	bugün	de
anlaşılmaktadır	bugün	de	olsun
bugün	de	olsun	diye
de	olsun	diye	dipten
olsun	diye	dipten	bir
diye	dipten	bir	duyguyla
dipten	bir	duyguyla	tutturduğum
bir	duyguyla	tutturduğum	yetmiş
duyguyla	tutturduğum	yetmiş	iki
tutturduğum	yetmiş	iki	aylık
yetmiş	iki	aylık	senetlerini
iki	aylık	senetlerini	de
aylık	senetlerini	de	imzalarken
senetlerini	de	imzalarken	cüzdanın
de	imzalarken	cüzdanın	orucunu
imzalarken	cüzdanın	orucunu	bozduğum
cüzdanın	orucunu	bozduğum	dört
orucunu	bozduğum	dört	kollu
bozduğum	dört	kollu	yerli
dört	kollu	yerli	arabamla
kollu	yerli	arabamla	gezmeye
yerli	arabamla	gezmeye	çıkıyorum
arabamla	gezmeye	çıkıyorum	eğer
gezmeye	çıkıyorum	eğer	işgüzar
çıkıyorum	eğer	işgüzar	bir
eğer	işgüzar	bir	trafikçi
işgüzar	bir	trafikçi	beni
bir	trafikçi	beni	yoldan
trafikçi	beni	yoldan	çevirirse
beni	yoldan	çevirirse	o
yoldan	çevirirse	o	zaman
çevirirse	o	zaman	halim
o	zaman	halim	yaman
zaman	halim	yaman	bu
halim	yaman	bu	ehliyet
yaman	bu	ehliyet	milano
bu	ehliyet	milano	da
ehliyet	milano	da	değil
milano	da	değil	belki
da	değil	belki	de
değil	belki	de	tüm
belki	de	tüm	dünyada
de	tüm	dünyada	en
tüm	dünyada	en	çok
dünyada	en	çok	fotoğraflanan
en	çok	fotoğraflanan	iç
çok	fotoğraflanan	iç	mekanlardan
fotoğraflanan	iç	mekanlardan	biri
iç	mekanlardan	biri	gerçekten
mekanlardan	biri	gerçekten	de
biri	gerçekten	de	camdan
gerçekten	de	camdan	dev
de	camdan	dev	kubbeli
camdan	dev	kubbeli	ve
dev	kubbeli	ve	dört
kubbeli	ve	dört	kollu
ve	dört	kollu	bu
dört	kollu	bu	dev
kollu	bu	dev	pasajın
bu	dev	pasajın	kapısından
dev	pasajın	kapısından	girdiğiniz
pasajın	kapısından	girdiğiniz	anda
kapısından	girdiğiniz	anda	tüm
girdiğiniz	anda	tüm	italyan
anda	tüm	italyan	görkemi
tüm	italyan	görkemi	ve
italyan	görkemi	ve	ihtişamını
görkemi	ve	ihtişamını	hissediyorsunuz
ve	ihtişamını	hissediyorsunuz	fotoğraf
ihtişamını	hissediyorsunuz	fotoğraf	çekimleri
hissediyorsunuz	fotoğraf	çekimleri	göklerden
fotoğraf	çekimleri	göklerden	gelen
çekimleri	göklerden	gelen	karar
göklerden	gelen	karar	varlarına
gelen	karar	varlarına	sen
karar	varlarına	sen	etkilenmiyormusun
varlarına	sen	etkilenmiyormusun	göklerden
sen	etkilenmiyormusun	göklerden	gelen
etkilenmiyormusun	göklerden	gelen	karar
göklerden	gelen	karar	cümlesinden
gelen	karar	cümlesinden	etkilenmiyorsan
karar	cümlesinden	etkilenmiyorsan	dört
cümlesinden	etkilenmiyorsan	dört	kolluya
etkilenmiyorsan	dört	kolluya	bindiğin
dört	kolluya	bindiğin	zaman
kolluya	bindiğin	zaman	anlarsın
bindiğin	zaman	anlarsın	hanyayı
zaman	anlarsın	hanyayı	konyayı
anlarsın	hanyayı	konyayı	ama
hanyayı	konyayı	ama	iş
konyayı	ama	iş	işten
ama	iş	işten	geçmiş
iş	işten	geçmiş	olur
işten	geçmiş	olur	demedi
geçmiş	olur	demedi	deme
olur	demedi	deme	ali
demedi	deme	ali	unler
deme	ali	unler	senin
ali	unler	senin	etkilendiğin
unler	senin	etkilendiğin	kesin
senin	etkilendiğin	kesin	bürokratik
etkilendiğin	kesin	bürokratik	masanın
kesin	bürokratik	masanın	kaderiyle
bürokratik	masanın	kaderiyle	birlikte
masanın	kaderiyle	birlikte	yaşamı
kaderiyle	birlikte	yaşamı	kimbilir
birlikte	yaşamı	kimbilir	belki
yaşamı	kimbilir	belki	de
kimbilir	belki	de	bir
belki	de	bir	gün
de	bir	gün	bir
bir	gün	bir	yerde
gün	bir	yerde	kaderine
bir	yerde	kaderine	terk
yerde	kaderine	terk	edilmiş
kaderine	terk	edilmiş	bir
terk	edilmiş	bir	dört
edilmiş	bir	dört	kollu
bir	dört	kollu	görürsem
dört	kollu	görürsem	onunla
kollu	görürsem	onunla	da
görürsem	onunla	da	paylaşırım
onunla	da	paylaşırım	yaşamımı
da	paylaşırım	yaşamımı	ben
paylaşırım	yaşamımı	ben	dayanamıyorum
yaşamımı	ben	dayanamıyorum	kuyruklara
ben	dayanamıyorum	kuyruklara	genelde
dayanamıyorum	kuyruklara	genelde	bizim
kuyruklara	genelde	bizim	bey
genelde	bizim	bey	otomatik
bizim	bey	otomatik	ödüyor
bey	otomatik	ödüyor	ama
otomatik	ödüyor	ama	olmasın
ödüyor	ama	olmasın	çocuk
ama	olmasın	çocuk	diyecek
olmasın	çocuk	diyecek	kadar
çocuk	diyecek	kadar	inceydi
diyecek	kadar	inceydi	türkiye
kadar	inceydi	türkiye	nin
inceydi	türkiye	nin	yollarının
türkiye	nin	yollarının	çoğunda
nin	yollarının	çoğunda	emeği
yollarının	çoğunda	emeği	olduğu
çoğunda	emeği	olduğu	halde
emeği	olduğu	halde	biz
olduğu	halde	biz	tanıyanlar
halde	biz	tanıyanlar	da
biz	tanıyanlar	da	dört
tanıyanlar	da	dört	kolluya
da	dört	kolluya	binince
dört	kolluya	binince	kimse
kolluya	binince	kimse	hatırlamayacak
binince	kimse	hatırlamayacak	halil
kimse	hatırlamayacak	halil	efendi
hatırlamayacak	halil	efendi	yi
halil	efendi	yi	tarihe
efendi	yi	tarihe	geçmeyecek
yi	tarihe	geçmeyecek	hakkında
tarihe	geçmeyecek	hakkında	araştırmalar
geçmeyecek	hakkında	araştırmalar	yapılmayacak
hakkında	araştırmalar	yapılmayacak	çok
araştırmalar	yapılmayacak	çok	çok
yapılmayacak	çok	çok	vücudu
çok	çok	vücudu	da
çok	vücudu	da	ateşle
vücudu	da	ateşle	kaplıymış
da	ateşle	kaplıymış	gibi
ateşle	kaplıymış	gibi	hisseder
kaplıymış	gibi	hisseder	bug
gibi	hisseder	bug	shark
hisseder	bug	shark	level
bug	shark	level	sırtında
shark	level	sırtında	keskin
level	sırtında	keskin	boynuzlara
sırtında	keskin	boynuzlara	sahiptir
keskin	boynuzlara	sahiptir	ve
boynuzlara	sahiptir	ve	saldırmak
sahiptir	ve	saldırmak	için
ve	saldırmak	için	dört
saldırmak	için	dört	kollu
için	dört	kollu	çekicini
dört	kollu	çekicini	kullanır
kollu	çekicini	kullanır	dark
çekicini	kullanır	dark	soldier
kullanır	dark	soldier	level
dark	soldier	level	eski
soldier	level	eski	paslı
level	eski	paslı	zırh
eski	paslı	zırh	içindeki
paslı	zırh	içindeki	kalın
zırh	içindeki	kalın	siyah
içindeki	kalın	siyah	duman
kalın	siyah	duman	saldırıldığında
siyah	duman	saldırıldığında	hafifçe
duman	saldırıldığında	hafifçe	idi
saldırıldığında	hafifçe	idi	sait
hafifçe	idi	sait	faik
idi	sait	faik	in
sait	faik	in	en
faik	in	en	sevdiği
in	en	sevdiği	öykülerine
en	sevdiği	öykülerine	giren
sevdiği	öykülerine	giren	kapuçina
öykülerine	giren	kapuçina	biz
giren	kapuçina	biz	de
kapuçina	biz	de	behçet
biz	de	behçet	necatigil
de	behçet	necatigil	le
behçet	necatigil	le	oturur
necatigil	le	oturur	piket
le	oturur	piket	oynardık
oturur	piket	oynardık	ya
piket	oynardık	ya	da
oynardık	ya	da	dört
ya	da	dört	kollu
da	dört	kollu	iskambil
dört	kollu	iskambil	kaptıkaçtı
kollu	iskambil	kaptıkaçtı	piketi
iskambil	kaptıkaçtı	piketi	bana
kaptıkaçtı	piketi	bana	behçet
piketi	bana	behçet	öğretmişti
bana	behçet	öğretmişti	şimdi
behçet	öğretmişti	şimdi	nasıl
öğretmişti	şimdi	nasıl	oynanır
şimdi	nasıl	oynanır	sorsanız
nasıl	oynanır	sorsanız	bilemem
oynanır	sorsanız	bilemem	hele
sorsanız	bilemem	hele	beziği
bilemem	hele	beziği	o
hele	beziği	o	kadar
beziği	o	kadar	olduğunu
o	kadar	olduğunu	gösterdi
kadar	olduğunu	gösterdi	eortc
olduğunu	gösterdi	eortc	çalışması
gösterdi	eortc	çalışması	eortc
eortc	çalışması	eortc	çalışması
çalışması	eortc	çalışması	t
eortc	çalışması	t	t
çalışması	t	t	rezektabl
t	t	rezektabl	rektum
t	rezektabl	rektum	kanseri
rezektabl	rektum	kanseri	hastasını
rektum	kanseri	hastasını	içeren
kanseri	hastasını	içeren	dört
hastasını	içeren	dört	kollu
içeren	dört	kollu	randomize
dört	kollu	randomize	bir
kollu	randomize	bir	çalışmadır
randomize	bir	çalışmadır	bir
bir	çalışmadır	bir	kolda
çalışmadır	bir	kolda	preopratif
bir	kolda	preopratif	rt
kolda	preopratif	rt	fraksiyonda
preopratif	rt	fraksiyonda	gy
rt	fraksiyonda	gy	diğer
fraksiyonda	gy	diğer	kolda
gy	diğer	kolda	buna
diğer	kolda	buna	ek
kolda	buna	ek	olarak
buna	ek	olarak	eş
ek	olarak	eş	gel
olarak	eş	gel	yoksa
eş	gel	yoksa	her
gel	yoksa	her	gece
yoksa	her	gece	yakacağım
her	gece	yakacağım	yüreğimi
gece	yakacağım	yüreğimi	kor
yakacağım	yüreğimi	kor	ateşlerde
yüreğimi	kor	ateşlerde	cayır
kor	ateşlerde	cayır	cayır
ateşlerde	cayır	cayır	ve
cayır	cayır	ve	seni
cayır	ve	seni	göremeden
ve	seni	göremeden	gideceğim
seni	göremeden	gideceğim	sessizce
göremeden	gideceğim	sessizce	ötelere
gideceğim	sessizce	ötelere	doğru
sessizce	ötelere	doğru	dört
ötelere	doğru	dört	kollunun
doğru	dört	kollunun	üzerinde
dört	kollunun	üzerinde	sen
kollunun	üzerinde	sen	de
üzerinde	sen	de	sadece
sen	de	sadece	ağlayışlarınla
de	sadece	ağlayışlarınla	kalacaksın
sadece	ağlayışlarınla	kalacaksın	ardımda
ağlayışlarınla	kalacaksın	ardımda	hadi
kalacaksın	ardımda	hadi	bakışında
ardımda	hadi	bakışında	hayat
hadi	bakışında	hayat	bulduğum
bakışında	hayat	bulduğum	güzellik
hayat	bulduğum	güzellik	gecenin
bulduğum	güzellik	gecenin	bitmesine
güzellik	gecenin	bitmesine	kökeni
gecenin	bitmesine	kökeni	farsça
bitmesine	kökeni	farsça	dilinden
kökeni	farsça	dilinden	gelmektedir
farsça	dilinden	gelmektedir	yerel
dilinden	gelmektedir	yerel	türkçe
gelmektedir	yerel	türkçe	anlamı
yerel	türkçe	anlamı	kerpiç
türkçe	anlamı	kerpiç	keserken
anlamı	kerpiç	keserken	kullanılan
kerpiç	keserken	kullanılan	tahtadan
keserken	kullanılan	tahtadan	yapılmış
kullanılan	tahtadan	yapılmış	olan
tahtadan	yapılmış	olan	dört
yapılmış	olan	dört	kollu
olan	dört	kollu	taşıma
dört	kollu	taşıma	aracı
kollu	taşıma	aracı	tahtadan
taşıma	aracı	tahtadan	yapılmış
